date,tag,count
2008-08-01,sql,1
2008-08-01,asp.net,1
2008-08-01,c#,2
2008-08-02,c++,2
2008-08-02,c#,3
2008-08-03,c#,3
2008-08-04,c#,14
2008-08-04,asp.net,3
2008-08-05,mysql,5
2008-08-05,asp.net,5
2008-08-05,c#,13
2008-08-05,html,6
2008-08-05,c++,2
2008-08-05,c,3
2008-08-05,php,5
2008-08-05,sql,7
2008-08-06,php,1
2008-08-06,c++,4
2008-08-06,c#,4
2008-08-06,mysql,1
2008-08-06,sql,5
2008-08-06,java,1
2008-08-07,c++,2
2008-08-07,asp.net,7
2008-08-07,java,5
2008-08-07,php,2
2008-08-07,html,7
2008-08-07,c#,8
2008-08-07,sql,1
2008-08-08,java,1
2008-08-08,sql,4
2008-08-08,mysql,4
2008-08-09,c#,2
2008-08-09,asp.net,3
2008-08-10,asp.net,2
2008-08-10,c#,2
2008-08-11,asp.net,1
2008-08-11,php,2
2008-08-11,java,4
2008-08-11,css,6
2008-08-11,c++,6
2008-08-11,c#,6
2008-08-11,javascript,3
2008-08-12,css,2
2008-08-12,c#,9
2008-08-12,java,3
2008-08-13,c,4
2008-08-13,sql,6
2008-08-13,c++,1
2008-08-13,asp.net,10
2008-08-13,php,1
2008-08-14,asp.net,16
2008-08-14,python,5
2008-08-14,sql,1
2008-08-14,c#,6
2008-08-14,c++,8
2008-08-14,java,1
2008-08-14,c,13
2008-08-14,php,5
2008-08-15,mysql,2
2008-08-15,sql,2
2008-08-15,c#,2
2008-08-15,java,12
2008-08-15,asp.net,8
2008-08-15,php,6
2008-08-16,c#,10
2008-08-16,php,18
2008-08-16,java,12
2008-08-16,mysql,5
2008-08-17,mysql,1
2008-08-17,php,3
2008-08-17,sql,3
2008-08-18,c++,5
2008-08-18,c,5
2008-08-18,sql,1
2008-08-18,javascript,1
2008-08-18,mysql,1
2008-08-18,asp.net,4
2008-08-19,php,1
2008-08-19,asp.net,3
2008-08-19,javascript,5
2008-08-19,c#,26
2008-08-19,c,5
2008-08-19,c++,2
2008-08-19,java,15
2008-08-20,c,10
2008-08-20,asp.net,3
2008-08-20,javascript,1
2008-08-20,css,2
2008-08-20,python,3
2008-08-20,mysql,7
2008-08-20,c#,7
2008-08-20,html,2
2008-08-20,c++,6
2008-08-21,c,1
2008-08-21,javascript,14
2008-08-21,asp.net,2
2008-08-21,sql,9
2008-08-21,css,2
2008-08-21,python,2
2008-08-21,html,2
2008-08-21,java,2
2008-08-21,c#,8
2008-08-22,c++,13
2008-08-22,asp.net,8
2008-08-22,javascript,3
2008-08-22,sql,11
2008-08-22,html,5
2008-08-22,java,2
2008-08-22,c,14
2008-08-22,css,5
2008-08-22,c#,19
2008-08-23,php,8
2008-08-23,javascript,1
2008-08-23,sql,9
2008-08-23,c,1
2008-08-23,java,2
2008-08-23,c#,9
2008-08-23,asp.net,1
2008-08-24,c,1
2008-08-24,css,4
2008-08-24,javascript,3
2008-08-24,c++,1
2008-08-24,c#,2
2008-08-24,sql,2
2008-08-25,c++,4
2008-08-25,html,5
2008-08-25,javascript,1
2008-08-25,asp.net,8
2008-08-25,c#,12
2008-08-25,css,8
2008-08-25,java,4
2008-08-25,sql,3
2008-08-25,c,4
2008-08-25,jquery,3
2008-08-26,sql,5
2008-08-26,css,2
2008-08-26,html,3
2008-08-26,android,2
2008-08-26,java,3
2008-08-26,javascript,2
2008-08-26,c++,23
2008-08-26,c#,10
2008-08-27,python,2
2008-08-27,c#,23
2008-08-27,css,5
2008-08-27,asp.net,11
2008-08-27,javascript,7
2008-08-27,sql,2
2008-08-27,c++,6
2008-08-27,php,4
2008-08-27,java,7
2008-08-27,mysql,4
2008-08-28,java,33
2008-08-28,css,7
2008-08-28,html,7
2008-08-28,python,3
2008-08-28,c,1
2008-08-28,asp.net,10
2008-08-28,php,4
2008-08-28,sql,26
2008-08-28,javascript,10
2008-08-28,c#,26
2008-08-29,css,3
2008-08-29,sql,3
2008-08-29,html,5
2008-08-29,javascript,19
2008-08-29,php,6
2008-08-29,java,4
2008-08-29,c,1
2008-08-29,asp.net,3
2008-08-29,jquery,4
2008-08-29,mysql,2
2008-08-29,python,24
2008-08-29,c#,2
2008-08-30,sql,1
2008-08-30,c++,9
2008-08-30,c#,4
2008-08-30,asp.net,1
2008-08-30,java,1
2008-08-30,python,1
2008-08-30,c,5
2008-08-31,css,2
2008-08-31,asp.net,2
2008-08-31,c#,1
2008-08-31,c++,2
2008-08-31,sql,4
2008-09-01,java,4
2008-09-01,sql,4
2008-09-01,c,1
2008-09-01,php,9
2008-09-01,css,1
2008-09-01,asp.net,5
2008-09-01,html,1
2008-09-01,c#,7
2008-09-02,android,1
2008-09-02,c#,30
2008-09-02,java,8
2008-09-02,asp.net,15
2008-09-02,jquery,4
2008-09-02,mysql,3
2008-09-02,javascript,9
2008-09-02,python,7
2008-09-02,php,7
2008-09-02,sql,12
2008-09-03,c,6
2008-09-03,css,1
2008-09-03,java,2
2008-09-03,asp.net,14
2008-09-03,c#,9
2008-09-03,sql,8
2008-09-03,javascript,3
2008-09-03,c++,23
2008-09-04,asp.net,5
2008-09-04,sql,7
2008-09-04,java,5
2008-09-04,javascript,6
2008-09-04,c#,28
2008-09-04,css,5
2008-09-04,html,5
2008-09-04,python,10
2008-09-05,c#,18
2008-09-05,javascript,3
2008-09-05,html,6
2008-09-05,java,18
2008-09-05,jquery,3
2008-09-05,css,6
2008-09-05,mysql,1
2008-09-05,sql,5
2008-09-05,asp.net,2
2008-09-05,python,4
2008-09-06,c#,4
2008-09-06,c++,4
2008-09-06,sql,1
2008-09-06,asp.net,2
2008-09-07,sql,1
2008-09-07,c++,10
2008-09-07,php,3
2008-09-07,asp.net,10
